,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS,
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,
,138,New Mexico,MWC,19-14,2.88,105.3,102.4,71.8,0.044,1.5,105,103.5,-3.24,280
,139,Pepperdine,WCC,16-16,2.87,107.2,104.4,70.8,0.034,3.22,104.3,101.1,0.3,170
,140,Winthrop 16*,BSth,24-10,2.65,104.7,102.1,71.9,-0.044,-8.04,99.9,107.9,3.54,65
,141,Penn,Ivy,16-11,2.63,103.4,100.8,70.2,0.025,0.42,102.6,102.1,3.2,70
,142,Northeastern,CAA,17-16,2.19,105.4,103.2,65.9,-0.113,-3.51,102,105.6,-2.89,269
,143,Marshall,CUSA,17-15,2.11,101.2,99.1,74.9,-0.037,-0.16,102.8,103,0.6,160
,144,Northern Kentucky 15*,Horz,23-9,2.11,102,99.8,65.7,0.074,-5.16,100,105.2,-0.21,185
,145,Siena 16*,MAAC,20-10,2.06,107.2,105.1,66.7,-0.001,-5.42,98.3,103.7,0.29,171
,146,Valparaiso,MVC,19-16,2.06,104.5,102.5,69.3,0.02,1.39,103,101.6,0.08,177
,147,Chattanooga,SC,20-13,1.87,106.6,104.8,67,0.025,-1.7,101.6,103.3,-3.57,287
,148,Buffalo,MAC,20-12,1.84,104.1,102.3,73.9,0.045,-0.62,102.4,103.1,-1.49,230
,149,FIU,CUSA,19-13,1.58,103.7,102.1,72.2,0.01,-0.82,101.6,102.4,-4.61,314
,150,Princeton,Ivy,14-13,1.5,107,105.5,66.3,-0.025,-0.66,101.7,102.4,0.27,174
,151,Santa Clara,WCC,20-13,1.22,102.6,101.3,71.6,0.049,-1.84,101.7,103.6,-11.52,352
,152,Toledo,MAC,17-15,1.14,106.3,105.1,68.1,-0.057,-1.36,101.4,102.8,-2,243
,153,California,P12,14-18,1.1,101.5,100.4,65.2,0.09,8.03,106.4,98.3,1.84,108
,154,Wofford,SC,19-16,1.08,104.5,103.4,65.9,-0.019,-1.03,102.3,103.3,-1.8,238
,155,South Alabama,SB,20-11,1.05,104.9,103.9,65.3,0.063,-1.01,102,103.1,-0.54,195
,156,Western Carolina,SC,19-12,1.04,107.3,106.3,71.5,0.049,-0.93,102.2,103.2,-1.67,232
,157,Fresno St.,MWC,11-19,1.03,105.1,104.1,64.2,-0.117,2.92,105.2,102.3,0.4,165
,158,Towson,CAA,19-13,0.87,105.7,104.8,65.1,0.014,-2.19,102.5,104.7,0.97,151
,159,Boston University 16*,Pat,21-13,0.78,103.3,102.6,66.3,0.002,-4.98,100.6,105.6,0.04,180
,160,UC Santa Barbara,BW,21-10,0.76,106.1,105.3,64.5,0.022,-4.63,100,104.7,-2.9,270
,161,Southern Utah,BSky,17-15,0.7,98.8,98.1,69.3,-0.063,-1.85,101.9,103.8,2.51,91
,162,Nebraska,B10,7-25,0.64,102,101.3,73.1,-0.047,11.96,108.1,96.1,-1.05,215
,163,Drake,MVC,20-14,0.62,102,101.3,67.9,0.065,0.39,102.9,102.5,-5.3,324
,164,Charlotte,CUSA,16-13,0.45,98.5,98,65.5,0.008,-1.31,102,103.3,-5.42,326
,165,Massachusetts,A10,14-17,0.43,102.9,102.5,68.6,0.012,4.2,103.6,99.4,1.15,141
,166,North Florida,ASun,21-12,0.37,112,111.6,69.4,0.034,-4.23,99.8,104.1,6.98,22
,167,Ohio,MAC,17-15,0.36,103.6,103.3,68,-0.01,-0.67,102.2,102.9,-1.18,219
,168,Bowling Green,MAC,21-10,0.33,104.3,104,70.1,0.142,-0.24,102.3,102.5,-2.44,254
,169,Vanderbilt,SEC,11-21,0.14,104.7,104.5,69.4,-0.061,5.97,105.9,100,-5.62,330
,170,Charleston,CAA,17-14,0.08,105,104.9,65.9,-0.004,-1.32,102.8,104.2,3.69,62
,171,Old Dominion,CUSA,13-19,-0.02,98.3,98.3,66.4,-0.091,0.03,102.3,102.2,1.39,131
,172,Austin Peay,OVC,21-12,-0.02,106.9,107,67.8,0.032,-5.29,100.1,105.4,3.47,67
,173,Portland St.,BSky,18-14,-0.03,108.8,108.8,71.8,0,-1.81,101.5,103.3,0.3,169
,174,George Mason,A10,17-15,-0.04,101.3,101.3,67,0.056,0.32,102.4,102,-6.46,341
,175,Appalachian St.,SB,18-15,-0.27,99.9,100.2,67.2,0.041,0.64,103.1,102.4,1.61,121
,176,St. Francis PA,NEC,22-10,-0.32,107.6,107.9,68.9,0.037,-6.85,99,105.9,0.03,181
,177,South Dakota,Sum,20-12,-0.36,108.6,108.9,70,0.011,-3.99,101.4,105.4,-2.78,268
,178,Southern Illinois,MVC,16-16,-0.41,98.2,98.6,64.2,-0.002,0.28,102.8,102.5,-3.73,293
,179,Boston College,ACC,13-19,-0.68,99.6,100.3,69.3,0.065,8.02,106,97.9,-1.74,237
,180,Delaware,CAA,22-11,-0.78,105.6,106.4,68.3,0.074,-4.18,101.4,105.6,-5.78,332
,181,La Salle,A10,15-15,-0.81,99.6,100.4,69.1,0.057,1.36,102.8,101.5,-3.54,284
,182,Northern Illinois,MAC,18-13,-1.03,99.8,100.8,64.8,0.044,-2.25,101.7,104,-5.93,335
,183,Sacramento St.,BSky,16-14,-1.1,97.1,98.2,63.9,-0.026,-2.36,101.7,104.1,-0.32,189
,184,Abilene Christian,Slnd,20-11,-1.14,99.1,100.2,68.4,-0.023,-7.05,99.6,106.6,5.58,33
,185,Tulane,Amer,12-18,-1.15,101.9,103.1,68.7,-0.014,3.24,102.8,99.6,-5.36,325
,186,Radford,BSth,21-11,-1.17,105.6,106.8,64.3,0.026,-5.96,100.9,106.8,7.52,19
,187,Rider,MAAC,18-12,-1.19,100.9,102.1,71.1,0.036,-5.29,98.3,103.6,-0.94,210
,188,UTEP,CUSA,17-15,-1.28,96.9,98.2,67.5,-0.005,-0.61,101.7,102.4,1.55,125
,189,UAB,CUSA,19-13,-1.32,100.8,102.1,65.7,0.048,-2.46,100.1,102.6,-5.65,331
,190,Coastal Carolina,SB,16-17,-1.33,104.8,106.2,72.8,-0.033,-0.29,102.3,102.6,-3.87,295
,191,Florida Atlantic,CUSA,17-15,-1.66,99.7,101.3,68.8,-0.001,-1.38,101.4,102.7,-3.81,294
,192,Stony Brook,AE,20-13,-1.74,97.7,99.4,69.8,0.021,-4.66,99.2,103.8,1.61,119
,193,Nicholls St.,Slnd,21-10,-1.82,99.7,101.5,68.7,0.05,-6.25,99.9,106.2,11.95,7
,194,Saint Peter's,MAAC,18-12,-1.98,95.4,97.3,68,0.023,-5.99,99.1,105.1,-3.63,290
,195,William & Mary,CAA,21-11,-2.17,103.3,105.5,67.5,0.132,-3.09,102.2,105.3,-1.14,218
,196,Eastern Michigan,MAC,16-16,-2.34,94.2,96.6,66.8,0.028,1.46,103.7,102.2,3.13,72
,197,Air Force,MWC,12-20,-2.49,107.8,110.3,68.8,-0.059,2.4,103.9,101.5,-3,273
,198,Mercer,SC,17-15,-2.61,100.1,102.7,68.1,0.014,-2.16,101.8,104,-4.91,319
,199,Rice,CUSA,15-17,-2.62,105.8,108.4,70.1,-0.004,-0.91,101.7,102.6,-0.86,206
,200,Sacred Heart,NEC,20-13,-2.64,102.2,104.8,68.7,0.019,-7.26,99.3,106.5,-3.97,298
,201,Monmouth,MAAC,18-13,-2.72,99.1,101.8,72.6,0.061,-5.21,98.7,103.9,-1.21,221
,202,Cal Baptist,WAC,21-10,-2.73,105.3,108.1,68.6,0.029,-7.75,98.5,106.2,-6.96,344
