,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,138,,MVC,13-18,2.63,104.7,102.1,69.9,-0.097,3.13,105.1,102,2.05
,,139,,MWC,17-17,2.57,107.2,104.7,66.8,-0.014,2.74,106.7,103.9,-0.95
,,140,,MVC,18-15,2.39,105.7,103.3,68.9,0.116,4.95,106.1,101.2,6.6
,,141,,Ivy,18-14,2.33,100.6,98.3,65.6,-0.008,-0.97,105.4,106.4,3.27
,,142,,OVC,23-13,2.32,102.3,100,66.2,-0.005,-4.47,103.6,108.1,-9.38
,,143,,MAC,22-13,2.31,102.3,100,65.1,-0.006,-2.49,105.4,107.9,-2.23
,,144,,A10,18-15,2.28,106.1,103.8,70.9,0.015,0.51,105.3,104.8,1.16
,,145,,MAAC,22-10,2.28,109.2,106.9,73.8,0.088,-2.78,103.1,105.9,0.32
,,146,,CUSA,20-18,2.2,105.6,103.4,67.8,-0.048,-0.69,103.5,104.1,-0.5
,,147,,BW,18-17,2.11,100.1,98,67,-0.025,1.08,105.6,104.5,8.99
,,148,,A10,17-16,2.1,102.1,100,64.1,0.003,1.23,106.8,105.6,1
,,149,,CUSA,17-16,2.01,106.9,104.9,67.3,-0.067,-0.37,104.1,104.5,-3.36
,,150,,MVC,15-17,1.78,103,101.2,69.7,-0.053,1.62,105,103.4,-2.72
,,151,,AE,22-10,1.71,107.1,105.4,66.2,0.007,-6.49,101.4,107.9,-5.2
,,152,,SB,21-12,1.65,105.9,104.3,68.9,0.015,-2.52,102.9,105.4,-1.55
,,153,,CAA,18-14,1.29,106,104.7,67.9,-0.07,-2.8,104.8,107.6,-2.22
,,154,,SC,19-15,1.27,111.7,110.5,64.3,-0.047,-2.86,102.9,105.8,-0.19
,,155,,MVC,17-17,1.09,105.9,104.8,68.4,0.016,2.22,105.4,103.2,-0.38
,,156,,A10,13-19,1.06,104.9,103.8,68.9,-0.072,1.15,105.5,104.4,2.22
,,157,,CAA,19-12,0.99,111.1,110.1,68.9,0.062,-1.8,105.4,107.2,1.99
,,158,,WCC,22-17,0.97,102.1,101.1,67.1,0.066,0.06,106.5,106.4,-0.33
,,159,,BSky,20-11,0.88,106.7,105.8,67.5,0.037,-2.94,103.9,106.8,-0.23
,,160,,BSth,19-12,0.85,106.1,105.2,71.6,-0.037,-5.51,101.6,107.1,2.13
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,161,,Amer,21-13,0.78,107.5,106.7,66.6,0.135,0.42,104.7,104.2,-6.39
,,162,,BW,20-12,0.62,103.7,103.1,69.6,0.097,-1.2,103.8,105,2.76
,,163,,SC,21-13,0.59,109.1,108.5,66.1,0.043,-2.59,103.7,106.3,2.05
,,164,,BSky,20-14,0.56,107.9,107.3,74.6,0.022,-0.82,104.9,105.7,3.3
,,165,,Sum,18-15,0.5,107.7,107.2,72.6,-0.072,-2.49,104.4,106.9,-2.21
,,166,,AE,25-11,0.5,103.1,102.6,68.4,0.125,-4.38,102.7,107.1,-3.55
