									Strength of Schedule			NCSOS
Rk	Team	Conf	W - L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
81	Miami OH	MAC	17-16	9.63	108.4	98.7	58	-0.038	6.42	106.4	100	13.46
82	Tulsa	CUSA	25-14	9.63	106.2	96.6	64.6	0.019	1.24	104.2	103	-8.17
83	Texas Tech	B12	16-15	9.6	107.7	98.1	67.6	0.014	9.4	108.5	99.1	0.33
84	Charlotte 6	A10	20-14	9.53	104.6	95.1	66.8	-0.006	5.77	107.1	101.4	2.45
85	Providence	BE	15-16	9.4	110.1	100.8	66.3	-0.025	9.2	109.1	99.9	0.87
86	Alabama	SEC	17-16	9.2	110.9	101.7	66.7	-0.055	5.7	107.2	101.5	-2.55
87	Bradley	MVC	21-17	9.05	111.8	102.7	68.5	-0.022	5.32	105.6	100.3	0.54
88	Cal St. Fullerton 14	BW	24-9	8.47	112.3	103.9	71.6	-0.01	-3.95	101.5	105.5	-3.01
89	Missouri St.	MVC	17-16	8.39	108.2	99.8	65.1	-0.063	4.86	105.8	100.9	1.6
90	Virginia	ACC	17-16	8.11	110.5	102.4	68.4	-0.024	6.21	106.8	100.6	-6.23
91	Georgia 14	SEC	17-17	8.08	104.3	96.2	64.7	-0.032	7.55	108.5	101	-4.1
92	San Diego St. 7	MWC	20-13	7.99	104.9	96.9	64.1	-0.006	3.21	104.5	101.2	-1.49
93	Siena 13	MAAC	23-11	7.99	108.6	100.7	67.6	0.036	-1.41	104.1	105.5	3.69
94	Western Michigan	MAC	20-12	7.92	108.1	100.2	63.8	-0.023	0.6	103.7	103.1	3.78
95	Ohio	MAC	20-13	7.55	109.7	102.1	63.2	0.019	2.4	104.3	101.9	3.06
96	Stephen F. Austin 7	Slnd	26-6	7.53	107.6	100.1	57.6	0.029	-5.9	98.6	104.5	-4.99
97	UCF	CUSA	16-15	7.11	109.1	102	64.1	-0.106	1.2	103.8	102.6	-0.15
98	Southern Miss	CUSA	19-14	6.98	108.3	101.3	63.3	-0.03	3.04	105.1	102.1	-1.58
99	UNC Greensboro	SC	19-12	6.96	108.1	101.2	64.6	0.014	0.04	104.1	104.1	3.59
100	New Mexico St.	WAC	21-14	6.85	108.1	101.3	69.7	-0.06	-2.2	103.5	105.7	4
101	Nevada	WAC	21-12	6.59	108.5	101.9	67.2	0.013	0.09	104.8	104.7	5.58
102	Cincinnati	BE	13-19	6.58	104.8	98.2	63.5	-0.006	9.65	109	99.3	1.57
103	Cleveland St. 6	Horz	21-13	6.58	103.3	96.7	64.7	0.035	3.23	105.5	102.3	3.54
104	Winthrop 13	BSth	22-12	6.38	99.5	93.1	61.6	0	-1.01	105.1	106.1	7.81
105	Boston College	ACC	14-17	6.37	108.9	102.6	64.2	-0.015	7.87	107.9	100	-4.02
106	South Carolina	SEC	14-18	6.1	109.1	103	64.7	-0.086	6.41	108	101.6	-2.69
107	Seton Hall	BE	17-15	6	110.5	104.5	69.2	0.04	5.69	106.5	100.8	-5.3
108	UTEP	CUSA	19-14	5.74	106.7	100.9	70.9	-0.013	1.46	103.6	102.2	-3.53
109	Utah St. 7	WAC	24-11	5.7	114.6	108.9	62.9	0.038	-3.25	101.8	105	-3.06
