,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
159,San Diego,WCC,18-14,-0.45,107.5,108,69.1,0.042,-0.38,103.4,103.7,-1.83
160,Minnesota,B10,9-22,-0.53,101.2,101.7,65.1,-0.029,7.98,107.6,99.6,-1.79
161,Northern Arizona,BSky,18-12,-0.94,110.1,111.1,72.1,0.07,-3.3,103.5,106.8,4.34
162,North Texas 15,SB,23-11,-0.98,103,104,69.1,0.034,-6.4,102.2,108.6,-2.88
163,Austin Peay 8,OVC,21-12,-1.08,105.3,106.4,66.2,0.065,-6.06,101.5,107.6,10.7
164,UNC Greensboro,SC,16-14,-1.21,102.4,103.6,66.6,0.005,-3.52,102.1,105.6,-3.15
165,Northwestern St.,Slnd,17-15,-1.31,104.7,106,74.5,-0.001,-3.56,102.1,105.6,5.45
166,East Tennessee St. 8,ASun,24-10,-1.49,98.9,100.4,69.8,0.1,-8.04,99.7,107.8,-1.41
167,American,Pat,16-14,-1.52,100.3,101.8,64.1,-0.051,-6.96,98.9,105.9,-6.69
168,UC Irvine,BW,15-18,-1.56,99.5,101,64.4,-0.029,-2.06,104.4,106.4,0.63
169,SMU,CUSA,14-17,-1.56,101.5,103.1,61,-0.048,0.16,102.4,102.3,-6.01
170,Tennessee Tech,OVC,19-13,-1.67,103.4,105.1,69.4,0.007,-5.81,102.1,107.9,9.26
171,Rice,CUSA,16-16,-1.86,103.3,105.2,65.8,0.054,1.3,104.3,103,0.35
172,TCU,MWC,13-17,-1.94,96.2,98.1,66.8,0.037,2.18,105.9,103.8,-9.53
173,High Point,BSth,22-10,-2.07,101.1,103.1,66.4,0.054,-8.72,100.2,108.9,-7.62
174,Oregon St.,P10,11-21,-2.09,102.6,104.6,65.1,-0.032,6.64,107.5,100.9,-8.82
175,Yale,Ivy,14-13,-2.09,102.6,104.7,66.3,-0.017,-3.82,102.1,105.9,-0.13
176,Portland St.,BSky,19-13,-2.18,104.7,106.8,70.9,0.031,-5.58,102.5,108.1,-2.09
177,Central Connecticut 16,NEC,22-12,-2.24,104.1,106.3,63.3,0.06,-8.44,100.4,108.8,-5.1
178,Southern Utah,MCon,16-14,-2.55,103.5,106.1,63,-0.005,-3.02,104.1,107.2,-1.96
179,Cal St. Fullerton,BW,20-10,-2.55,105.1,107.6,73.4,0.065,-6.19,100.7,106.9,-9.95
180,Eastern Washington,BSky,15-14,-2.57,112.4,115,71.9,-0.019,-2.69,103.7,106.4,6.93
181,Youngstown St.,Horz,14-17,-2.57,102.8,105.4,65.6,0.036,2.6,106.7,104.1,4.51
182,Eastern Kentucky 16,OVC,21-12,-2.58,102.7,105.3,61.3,0.078,-6.17,101.8,107.9,6.66
183,IUPUI,MCon,15-15,-2.62,106.9,109.5,63,-0.02,-2.37,102.9,105.3,-1.67
184,Weber St. 15,BSky,20-12,-2.71,102.1,104.8,65.2,0.098,-3.46,104.8,108.3,1.83
185,Sacred Heart,NEC,18-14,-2.75,107.6,110.3,71.3,0.02,-7.06,100.7,107.8,1.73
186,Niagara 16,MAAC,23-12,-2.76,107.2,110,68.3,0.118,-6.17,101.3,107.5,-5.19
187,Lipscomb,ASun,18-13,-2.77,103.9,106.6,61.4,-0.017,-6.77,100.8,107.6,5.49
188,Northeastern,CAA,13-19,-2.8,101.2,104,64.6,0.014,1.98,105.7,103.7,7.94
189,Cornell,Ivy,16-12,-2.93,104.3,107.3,63.2,0,-6,100.3,106.3,-5.38
190,Marshall,CUSA,13-19,-2.97,100.7,103.7,67.2,0.074,2.07,104.6,102.5,0.83
191,Loyola MD,MAAC,18-13,-3.14,107.2,110.3,65.8,0.002,-6.76,100.2,107,-5.36
192,Montana,BSky,17-15,-3.27,107.3,110.5,62.8,-0.008,-4.19,103.5,107.7,0.42
193,Furman,SC,15-16,-3.55,103.8,107.4,63.1,0.018,-0.88,103.9,104.8,2.06
194,Boston University,AE,12-18,-3.78,99.4,103.2,59.4,-0.102,-4.33,101.8,106.1,0.82
195,Stephen F. Austin,Slnd,15-14,-3.79,98.2,102,60.5,-0.077,-6,101.1,107.1,-2.78
196,William & Mary,CAA,15-15,-3.83,102.8,106.6,63.1,0.019,-3.77,102,105.8,-10.88
197,Louisiana Tech,WAC,10-20,-3.89,99.8,103.7,65.8,-0.011,2.9,104.3,101.5,1.19
198,Buffalo,MAC,12-19,-4,98.5,102.5,70.6,0.015,0.15,104.7,104.5,-1.76
199,Georgia Southern,SC,15-16,-4.1,98,102.1,68.3,-0.027,-3.51,102.2,105.7,-1.17
200,Delaware St. 8,MEAC,21-13,-4.16,106.5,110.7,54.5,0.109,-6.4,99.8,106.2,15.86
201,Middle Tennessee,SB,15-17,-4.24,98.5,102.7,60.7,0.001,-2.98,104.1,107.1,3.75
202,Chattanooga,SC,15-18,-4.26,99.7,104,65.4,-0.027,-1.56,103.3,104.8,-0.85
203,Chicago St.,ind,9-20,-4.73,107.3,112.1,68.2,-0.009,5.64,107.4,101.7,5.64
204,Arkansas St.,SB,18-15,-4.94,103.7,108.7,67.5,0.037,-5.64,102.2,107.8,-1.93
205,Ball St.,MAC,9-22,-5.03,96.4,101.4,63.1,-0.089,0.85,104.2,103.4,3.84
206,Columbia,Ivy,16-12,-5.23,104.7,110,61.9,0.047,-7.81,99.5,107.4,-9.77
207,Fairfield,MAAC,13-19,-5.23,102.3,107.5,59.8,0,-2.93,102.7,105.7,5.93
208,Rutgers,BE,10-19,-5.32,101.3,106.7,60.9,0.05,6.44,106.8,100.4,-2.94
209,Pacific,BW,12-19,-5.34,104.6,109.9,62.3,-0.029,-1.53,103.6,105.1,2
210,Milwaukee,Horz,9-22,-5.38,100.1,105.5,66.9,0.032,3.82,106.9,103.1,5.28
211,Loyola Marymount,WCC,13-18,-5.5,95,100.5,67.8,0.095,3.16,106.3,103.1,5.98
212,Robert Morris,NEC,17-11,-5.54,106.7,112.3,66.1,0.004,-9.72,99.7,109.5,-6.67
213,UMKC,MCon,12-20,-5.66,107.3,112.9,66,-0.015,-1.28,104.1,105.4,0.59
214,Lamar,Slnd,15-17,-5.97,103.6,109.6,68.9,0.015,-3.32,102.3,105.7,4.39
215,Central Michigan,MAC,13-18,-6.03,100.3,106.3,65.6,0.076,-0.39,103.7,104.1,-1.3
216,Colorado,B12,7-20,-6.04,100.7,106.7,71.6,0.037,7.25,108.8,101.5,-3.71
