,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,126,Duquesne,A10,9-9,4.74,101.7,97,69,0.007,6.63,105,98.4,2.39
,127,Wofford,SC,15-9,4.39,106.4,102,65.9,0.025,3.38,105,101.6,6.31
,128,East Tennessee St.,SC,13-12,3.99,103.2,99.2,65.4,-0.063,3.87,104.9,101,4.67
,129,Washington,P12,5-21,3.65,104,100.4,71,-0.061,17.97,112,94,11.85
,130,Bowling Green,MAC,14-12,3.62,105.5,101.9,69.8,-0.037,3.46,105.5,102,1.52
,131,Mercer,SC,18-11,3.43,106.2,102.8,67.7,-0.002,2.05,104.1,102,1.56
,132,Cal St. Bakersfield,BW,15-11,3.28,104.6,101.4,63.6,-0.024,1.53,102.7,101.2,3.8
,133,Vermont,AE,10-5,3.22,105.5,102.2,66.4,-0.069,-7.92,96.4,104.3,-99
,134,Morehead St. 14,OVC,23-8,3.19,100.6,97.4,65.2,0.146,-1.1,102.1,103.2,16.21
,135,Southern Utah,BSky,20-4,3.13,108.5,105.4,69.9,0.082,-3.56,100.9,104.5,-0.64
,136,UTEP,CUSA,12-12,3.09,103.3,100.2,67.8,-0.065,5.18,104,98.8,20.55
,137,Texas A&M,SEC,8-10,3.05,101.9,98.9,64.3,0.018,9.1,107,97.9,-5.63
,138,Miami FL,ACC,10-17,3.01,102.1,99.1,67.8,0.019,11.91,109.2,97.3,-7.27
,139,North Dakota St.,Sum,15-12,2.84,103.7,100.9,64.6,-0.033,1.3,104.4,103.1,10.84
,140,TCU,B12,12-14,2.81,104.7,101.9,66.6,0.089,11.88,107.9,96,0.6
,141,DePaul,BE,5-14,2.8,97.6,94.8,70.6,-0.048,13.3,109,95.7,-8.6
,142,George Mason,A10,13-9,2.73,101.1,98.4,68.1,0.046,3.26,104.5,101.2,-4.89
,143,Temple,Amer,5-11,2.7,101.5,98.8,68.6,-0.092,8.84,105.8,97,-13.51
,144,Tulane,Amer,10-13,1.95,99.8,97.8,67.4,0.013,7.32,104.4,97.1,-14.54
,145,Santa Clara,WCC,12-8,1.94,100.4,98.5,70.4,0.147,5.78,104.5,98.7,0.73
,146,Bradley,MVC,12-16,1.87,103.5,101.7,65.9,-0.086,5.85,105.5,99.7,6.06
,147,Kansas St.,B12,9-20,1.47,99.6,98.1,65.5,0.026,14.05,109.9,95.9,-1.47
,148,Boston College,ACC,4-16,1.47,105.1,103.6,70.9,-0.097,13.86,110.5,96.7,12.89
,149,Ball St.,MAC,10-13,1.44,103.4,101.9,70.7,-0.049,4.48,106.1,101.6,3.81
,150,New Mexico St.,WAC,12-8,1.4,104.1,102.7,64.6,-0.066,-2.44,100.5,103,-3.53
,151,Stephen F. Austin,Slnd,16-5,1.29,103.5,102.2,69.7,0.047,-7.61,98.1,105.7,-2.05
,152,Old Dominion,CUSA,15-8,1.2,101,99.9,67.4,0.14,2.72,102.8,100.1,5.55
,153,VMI,SC,13-12,1.09,107.8,106.7,69.9,-0.048,2.95,104.6,101.7,5.01
,154,Georgia St.,SB,16-6,0.86,105.7,104.8,70.5,0.076,-1.79,101.2,103,4.62
,155,East Carolina,Amer,8-11,0.74,99.3,98.6,67.9,-0.016,6.22,104.7,98.5,-6.89
,156,Chattanooga,SC,18-8,0.71,103,102.3,66.4,0.102,0.68,103.3,102.6,-3.51
,157,Miami OH,MAC,12-11,0.7,106,105.3,65.8,0.002,2.88,104.8,101.9,-0.46
,158,Drexel 16,CAA,12-8,0.67,106.5,105.8,63.9,0.007,-2.28,101.2,103.5,-5.75
,159,South Dakota,Sum,14-11,0.64,107.3,106.6,68.9,-0.015,0.22,103.3,103.1,10.69
,160,UTSA,CUSA,15-11,0.57,106.5,105.9,71.8,0.021,3.1,102.6,99.5,5.87
,161,Detroit,Horz,12-10,0.51,109.3,108.8,67.1,-0.051,-1.93,103.6,105.5,8.53
,162,Jacksonville St.,OVC,18-9,0.44,104.9,104.5,65.8,0.017,-2.68,101.1,103.8,4.66
,163,Northern Iowa,MVC,10-15,0.34,103.3,103,68.8,-0.022,7.13,105.2,98,14.82
