,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
162,Florida Atlantic,CUSA,17-16,0.03,99.9,99.9,67.4,-0.052,-1.32,103,104.3,-1.4
163,Gardner Webb,BSth,23-12,-0.04,107.8,107.8,67.4,0.07,-3.55,103.2,106.8,-4.07
164,Nebraska Omaha,Sum,21-11,-0.2,110.2,110.4,67.9,0.109,-3.64,103.9,107.5,2.52
165,UNLV,MWC,17-14,-0.29,106.1,106.4,67.5,0.014,-2.28,103.1,105.4,-3.42
166,Stony Brook,AE,24-9,-0.42,99.5,99.9,69.3,0.058,-6.81,100.2,107,-3.31
167,North Florida,ASun,16-17,-0.69,104.1,104.8,71.9,0.015,1.59,103.9,102.4,10.41
168,Winthrop,BSth,18-12,-0.74,107,107.8,72.7,0.016,-2.61,103.3,105.9,1.75
169,Lehigh,Pat,20-11,-0.79,108.9,109.7,71.6,0.083,-4.34,102.3,106.6,-1.5
170,Hampton,BSth,18-17,-0.85,107.4,108.2,71.3,-0.091,-3.87,103,106.9,-1.77
171,Missouri St.,MVC,16-16,-0.85,103.1,104,65.4,-0.021,-1.74,102.8,104.6,-1.9
172,UC Santa Barbara,BW,22-10,-0.86,105.3,106.1,64.7,0.035,-7.31,101.4,108.7,-7.68
173,Duquesne,A10,19-13,-0.9,104.6,105.5,69.8,0.055,-2.8,101.8,104.6,-7.26
174,Wake Forest,ACC,11-20,-0.93,104.4,105.3,67.6,0.04,7.92,108.3,100.4,-6.46
175,Princeton,Ivy,16-12,-1.06,98.9,100,67.6,0.101,0.16,104.3,104.2,-1.24
176,Sam Houston St.,Slnd,21-12,-1.09,106.1,107.2,66.3,0.022,-5.57,101,106.6,3.15
177,Northern Iowa,MVC,16-18,-1.15,101.5,102.7,64.4,0.004,0.29,103.1,102.8,3.42
178,Louisiana,SB,19-13,-1.21,106.7,107.9,72.1,0.085,-1.41,104.6,106,-1.5
179,Presbyterian,BSth,20-16,-1.32,109.3,110.7,67.8,-0.043,-3.96,102.8,106.8,-1.18
180,Colorado St.,MWC,12-20,-1.39,107.6,109,67.1,-0.111,-0.21,104.7,104.9,-1.91
181,Campbell,BSth,20-13,-1.49,108.3,109.8,65.7,0.023,-3.79,103.6,107.4,-2.06
182,UT Rio Grande Valley,WAC,20-17,-1.5,99.6,101.1,70.4,0.026,-2.13,102.8,104.9,-1.07
183,NJIT,ASun,22-13,-1.54,101.8,103.3,66.9,0.084,-4.07,102,106,-4.15
184,Ohio,MAC,14-17,-1.55,98.9,100.5,69.2,0.062,3.39,106.8,103.4,0.7
185,Green Bay,Horz,21-17,-1.56,104.9,106.5,73.2,0.08,-0.59,105.4,106,7.58
186,Santa Clara,WCC,16-15,-1.77,102.1,103.9,66.3,0.059,-0.65,104.4,105,-9.38
187,Oakland,Horz,16-17,-1.77,107.8,109.6,68.7,-0.002,-2.07,104.9,106.9,1.63
188,New Mexico,MWC,14-18,-1.85,104.1,105.9,72.8,-0.028,0.26,104.3,104,-0.25
189,Saint Joseph's,A10,14-19,-1.89,105.4,107.2,68.5,-0.012,0.48,103.2,102.7,0.44
190,Seattle,WAC,18-15,-1.99,100.8,102.8,67.2,-0.04,-5.06,102.3,107.4,-8.81
191,IUPUI,Horz,16-17,-2.07,103.8,105.8,68.9,-0.066,-3.11,103.9,107,-3.74
192,Purdue Fort Wayne,Sum,18-15,-2.17,106.8,109,71.6,-0.002,-3.69,104.1,107.8,0.03
193,Northern Colorado,BSky,21-11,-2.27,102.6,104.9,66.5,0.05,-7.99,101.4,109.4,-1.59
194,Hartford,AE,18-15,-2.32,108.5,110.8,66.7,-0.008,-5.42,101.3,106.7,0.53
195,Texas Southern,SWAC,24-14,-2.35,105.2,107.5,74.7,0.063,-6.57,99.6,106.1,12.53
196,Illinois Chicago,Horz,16-16,-2.78,100.8,103.5,70,-0.002,-2.2,104.9,107.1,0.31
197,Cal Baptist,WAC,16-15,-2.82,106.1,108.9,67.9,-0.07,-3.47,102.4,105.9,-5.65
198,Iona,MAAC,17-16,-2.88,106.9,109.7,70.6,-0.024,-6.27,100.5,106.8,0.44
199,Mercer,SC,11-20,-3.06,103.4,106.5,66.8,-0.113,1.1,106.1,105,1.13
200,American,Pat,15-15,-3.12,102.1,105.2,66.6,-0.119,-7.64,100.5,108.1,-10.8
201,Hawaii,BW,18-13,-3.12,103.7,106.8,66.3,-0.005,-6.27,100.9,107.1,-5.32
202,North Dakota St.,Sum,19-16,-3.2,107.4,110.6,65,0.064,-2.85,104.8,107.6,3.23
